blind_code,code,first_label,second_label,second_conf,agree
R00,G234,D,D,2,1
R01,G456,H,H,2,1
R02,G377,D,D,2,1
R03,G589,U,U,1,1
R04,G276,U,U,1,1
R05,G344,D,D,2,1
R06,G550,W,W,1,1
R07,G770,D,D,1,1
R08,G040,D,D,2,1
R09,G684,D,D,1,1
R10,G637,D,D,2,1
R11,G560,D,D,2,1
R12,G398,D,D,2,1
R13,G615,D,D,2,1
R14,G295,D,D,1,1
R15,G123,D,D,1,1
R16,G116,W,W,1,1
R17,G708,D,D,1,1
R18,G079,D,U,2,0
R19,G341,D,D,2,1
R20,G106,U,U,2,1
R21,G757,D,D,1,1
R22,G001,D,D,2,1
R23,G658,D,D,2,1
R24,G590,D,D,2,1
R25,G346,W,W,1,1
R26,G294,D,D,1,1
R27,G598,D,D,2,1
R28,G273,D,D,1,1
R29,G109,D,D,1,1
R30,G645,D,D,1,1
R31,G682,D,D,1,1
R32,G214,D,D,2,1
R33,G319,D,D,1,1
R34,G513,D,D,1,1
R35,G128,D,D,2,1
R36,G424,H,H,2,1
R37,G600,D,D,1,1
R38,G034,D,D,2,1
R39,G356,D,D,1,1
R40,G624,D,D,1,1
R41,G151,W,W,2,1
R42,G538,D,D,1,1
R43,G078,D,D,2,1
R44,G559,D,D,2,1
R45,G677,W,W,1,1
R46,G281,D,D,1,1
R47,G793,D,D,1,1
R48,G706,D,D,1,1
R49,G508,D,D,1,1
R50,G096,D,D,1,1
R51,G561,U,U,2,1
R52,G461,W,W,2,1
R53,G172,D,D,1,1
R54,G011,D,D,1,1
R55,G449,D,D,1,1
R56,G262,D,D,2,1
R57,G223,D,D,1,1
R58,G675,D,D,1,1
R59,G577,D,D,1,1
