index,institution,unit,type,members,wet,hybrid,dry,unclassified,hand_labelled,hand_random,hand_targeted,test_scored,test_agree
0,SOM,Ophthalmology,clinical,122,14,5,74,29,17,15,2,8,8
1,SOM,Radiology & Imaging,clinical,349,11,2,247,89,33,27,6,7,7
2,SOM,Medicine,clinical,1183,95,13,779,296,171,139,32,58,54
3,SOM,Neurology,clinical,254,22,7,136,89,28,21,7,10,8
4,SOM,Pathology & Lab Medicine,clinical_lab,242,64,12,122,44,54,25,29,15,14
5,Winship,Cancer Immunology,translational_centre,69,37,3,29,0,15,8,7,4,1
6,SOM,Human Genetics,genetics,145,30,5,74,36,33,16,17,8,7
7,SOM,Biomedical Engineering,engineering,107,55,4,29,19,24,13,11,4,4
8,SOM,Cell Biology,basic_science,59,51,1,2,5,5,3,2,1,1
9,SOM,Physiology,basic_science,9,5,0,1,3,1,0,1,0,0
10,SOM,Family & Preventive Med.,clinical,181,4,2,92,83,20,17,3,9,8
11,SOM,Surgery,clinical,307,16,1,260,30,47,43,4,18,18
12,SOM,Psychiatry,clinical,512,26,7,296,183,60,50,10,28,26
13,SOM,Otolaryngology,clinical,63,2,0,53,8,11,10,1,2,2
14,SOM,Emergency Medicine,clinical,234,5,0,171,58,25,24,1,8,7
15,SOM,Neurosurgery,clinical,63,14,1,44,4,14,12,2,8,7
16,SOM,Pediatrics,clinical,939,102,11,599,227,137,111,26,63,55
17,SOM,Rehabilitation Medicine,clinical,137,4,1,88,44,19,18,1,10,10
18,SOM,Radiation Oncology,clinical,86,9,2,74,1,16,9,7,5,5
19,SOM,Hematology / Oncology,clinical,167,27,7,117,16,26,17,9,6,5
20,SOM,Microbiology & Immunology,basic_science,46,41,1,1,3,5,4,1,3,3
21,CHOA,CCIV,translational_centre,57,30,1,16,10,8,5,3,3,2
22,Vaccine,Microbiology & Immunology,basic_science,2,2,0,0,0,0,0,0,0,0
23,Vaccine,Georgia Research Alliance,basic_science,4,4,0,0,0,1,1,0,0,0
24,Vaccine,Emory Center for AIDS Research,basic_science,13,10,0,3,0,6,4,2,1,1
25,EPC,Emory National Primate Research Center,basic_science,8,8,0,0,0,2,2,0,1,1
26,SOM,Orthopaedics,clinical,175,16,2,121,36,30,25,5,9,9
27,SOM,Anesthesiology,clinical,250,9,0,160,81,25,24,1,8,7
28,CHOA,CCTR,clinical,143,5,5,105,28,23,19,4,10,8
29,Winship,Cancer Prevention & Control,population,224,1,3,219,1,32,30,2,19,18
30,SOM,SOMPI,clinical,78,2,1,56,19,12,12,0,8,8
