metric,v3.1,v3.1_lo,v3.1_hi,new,new_lo,new_hi,diff_lo,diff_hi
coverage,0.5772,0.5242,0.6290,0.9675,0.9486,0.9840,0.3379,0.4435
accuracy_all,0.1491,0.1138,0.1855,0.9160,0.8874,0.9436,0.7204,0.8128
accuracy_when_placed,0.2582,0.2010,0.3175,0.9468,0.9220,0.9688,0.6252,0.7498
macro_f1,0.2075,0.1673,0.2492,0.7230,0.6068,0.8218,0.3998,0.6204
f1_W,0.4815,0.3841,0.5747,0.8545,0.7787,0.9204,0.2830,0.4701
f1_H,0.0594,0.0000,0.1290,0.3529,0.0000,0.6250,-0.0381,0.5714
f1_D,0.0815,0.0420,0.1242,0.9616,0.9445,0.9756,0.8357,0.9245
wet_precision,0.3545,0.2678,0.4455,0.8103,0.7021,0.9057,0.3543,0.5641
wet_recall,0.7500,0.6274,0.8679,0.9038,0.8214,0.9778,0.0377,0.2857
unclear_left_unclassified,0.8387,0.7000,0.9630,0.6774,0.5000,0.8333,-0.3226,0.0000
